Population,Location,Year,Age,Sex,Cause of death or injury,Measure,Value,Lower bound,Upper bound
All Population,Brazil,1990,0-6 days,Both,HIV/AIDS and sexually transmitted infections,"Deaths per 100,000",220.89697198782758,177.53240508966843,269.46314519439926
All Population,Brazil,1990,7-27 days,Both,HIV/AIDS and sexually transmitted infections,"Deaths per 100,000",25.472906623732563,20.202386375965443,31.95691722792587
All Population,Brazil,1990,1-5 months,Both,HIV/AIDS and sexually transmitted infections,"Deaths per 100,000",12.784519386150995,11.375715180244889,14.367320699480373
All Population,Brazil,1990,6-11 months,Both,HIV/AIDS and sexually transmitted infections,"Deaths per 100,000",9.636107843930656,8.708184048726,10.625609129579315
All Population,Brazil,1990,12-23 months,Both,HIV/AIDS and sexually transmitted infections,"Deaths per 100,000",3.5310138786168443,3.155502405748426,3.8901915522834267
All Population,Brazil,1990,2-4 years,Both,HIV/AIDS and sexually transmitted infections,"Deaths per 100,000",1.1564711464926931,1.0160766373894812,1.2855038711501552
All Population,Brazil,1990,5-9 years,Both,HIV/AIDS and sexually transmitted infections,"Deaths per 100,000",0.5506732624285167,0.49618372179172515,0.6107219259425528
All Population,Brazil,1990,10-14 years,Both,HIV/AIDS and sexually transmitted infections,"Deaths per 100,000",0.3973391887060705,0.3537452256424951,0.4363416983396401
All Population,Brazil,1990,15-19 years,Both,HIV/AIDS and sexually transmitted infections,"Deaths per 100,000",1.155919110459517,1.0224355039049067,1.3061744169942604
All Population,Brazil,1990,20-24 years,Both,HIV/AIDS and sexually transmitted infections,"Deaths per 100,000",4.41775604612362,3.810065181904644,4.920582437898554
All Population,Brazil,1990,25-29 years,Both,HIV/AIDS and sexually transmitted infections,"Deaths per 100,000",8.653996154880767,7.673608688316735,9.719739855022787
All Population,Brazil,1990,30-34 years,Both,HIV/AIDS and sexually transmitted infections,"Deaths per 100,000",11.383850518510148,10.126114351139725,12.815779821987814
All Population,Brazil,1990,35-39 years,Both,HIV/AIDS and sexually transmitted infections,"Deaths per 100,000",11.305944829258033,10.071144353150126,12.593408726123847
All Population,Brazil,1990,40-44 years,Both,HIV/AIDS and sexually transmitted infections,"Deaths per 100,000",10.139240484190157,9.052237567637556,11.194386178676652
All Population,Brazil,1990,45-49 years,Both,HIV/AIDS and sexually transmitted infections,"Deaths per 100,000",8.23723828644441,7.441685413051053,9.125881120056176
All Population,Brazil,1990,50-54 years,Both,HIV/AIDS and sexually transmitted infections,"Deaths per 100,000",5.265755960674225,4.736840460752904,5.811751859382295
All Population,Brazil,1990,55-59 years,Both,HIV/AIDS and sexually transmitted infections,"Deaths per 100,000",4.847579231014228,4.38859916463653,5.384545045088855
All Population,Brazil,1990,60-64 years,Both,HIV/AIDS and sexually transmitted infections,"Deaths per 100,000",3.3588105099608248,3.01250189321879,3.7054220205940362
All Population,Brazil,1990,65-69 years,Both,HIV/AIDS and sexually transmitted infections,"Deaths per 100,000",3.0875756351946344,2.7801714215337734,3.386893023729625
All Population,Brazil,1990,70-74 years,Both,HIV/AIDS and sexually transmitted infections,"Deaths per 100,000",0.8173575901478521,0.7183983002817858,0.9149848666941115
All Population,Brazil,1990,75-79 years,Both,HIV/AIDS and sexually transmitted infections,"Deaths per 100,000",1.0275143609096415,0.9111859144635276,1.169235785662124
All Population,Brazil,1990,80-84 years,Both,HIV/AIDS and sexually transmitted infections,"Deaths per 100,000",1.2217279973973174,1.0350265759666146,1.4210921855054899
All Population,Brazil,1990,85-89 years,Both,HIV/AIDS and sexually transmitted infections,"Deaths per 100,000",1.6549688210201876,1.3144466815177156,2.0394832900098825
All Population,Brazil,1990,90-94 years,Both,HIV/AIDS and sexually transmitted infections,"Deaths per 100,000",1.9716950613842212,1.507377179844268,2.397632268348436
All Population,Brazil,1990,95+ years,Both,HIV/AIDS and sexually transmitted infections,"Deaths per 100,000",2.3061364394789923,1.567782791443587,2.8946740488830907
All Population,Brazil,1990,0-6 days,Both,Respiratory infections and tuberculosis,"Deaths per 100,000",1773.7062057107553,1619.3722446353518,1961.7152261473234
All Population,Brazil,1990,7-27 days,Both,Respiratory infections and tuberculosis,"Deaths per 100,000",845.6310842673233,751.2284919058885,975.5038404713291
All Population,Brazil,1990,1-5 months,Both,Respiratory infections and tuberculosis,"Deaths per 100,000",847.0058689309659,759.1060713988177,962.1115149609777
All Population,Brazil,1990,6-11 months,Both,Respiratory infections and tuberculosis,"Deaths per 100,000",384.3204906568859,341.4860816840261,433.6329602145337
All Population,Brazil,1990,12-23 months,Both,Respiratory infections and tuberculosis,"Deaths per 100,000",107.05798986571544,95.46466906355407,120.23139117097739
All Population,Brazil,1990,2-4 years,Both,Respiratory infections and tuberculosis,"Deaths per 100,000",22.348175466030444,19.814518393359158,24.86492994956209
All Population,Brazil,1990,5-9 years,Both,Respiratory infections and tuberculosis,"Deaths per 100,000",4.327848205224128,3.8819905667440393,4.8774638216931
