Population,Location,Year,Age,Sex,Cause of death or injury,Measure,Value,Lower bound,Upper bound
All Population,Brazil,1990,10-14 years,Both,Respiratory infections and tuberculosis,"Deaths per 100,000",3.239017835367085,2.905498320440532,3.578853096563967
All Population,Brazil,1990,15-19 years,Both,Respiratory infections and tuberculosis,"Deaths per 100,000",4.149454082026944,3.704424006257831,4.628827514974311
All Population,Brazil,1990,20-24 years,Both,Respiratory infections and tuberculosis,"Deaths per 100,000",5.96413999975744,5.445331227889665,6.521715270271858
All Population,Brazil,1990,25-29 years,Both,Respiratory infections and tuberculosis,"Deaths per 100,000",8.619198190035524,7.8430036392818625,9.408031824908727
All Population,Brazil,1990,30-34 years,Both,Respiratory infections and tuberculosis,"Deaths per 100,000",12.333238602804062,11.35485529416393,13.445172181370655
All Population,Brazil,1990,35-39 years,Both,Respiratory infections and tuberculosis,"Deaths per 100,000",16.583401048907998,15.198239307051859,18.0200144425485
All Population,Brazil,1990,40-44 years,Both,Respiratory infections and tuberculosis,"Deaths per 100,000",21.542650875795427,19.836069013133468,23.327447506662498
All Population,Brazil,1990,45-49 years,Both,Respiratory infections and tuberculosis,"Deaths per 100,000",27.697887005122784,25.396981589886586,30.10556880607406
All Population,Brazil,1990,50-54 years,Both,Respiratory infections and tuberculosis,"Deaths per 100,000",36.83571008421144,33.541665856145215,39.82012118399422
All Population,Brazil,1990,55-59 years,Both,Respiratory infections and tuberculosis,"Deaths per 100,000",47.89679221168035,43.60652838156351,52.18150268662216
All Population,Brazil,1990,60-64 years,Both,Respiratory infections and tuberculosis,"Deaths per 100,000",66.77256899968982,60.45758020752962,73.2181017571546
All Population,Brazil,1990,65-69 years,Both,Respiratory infections and tuberculosis,"Deaths per 100,000",101.39590383600279,91.05875428714711,111.15477864719932
All Population,Brazil,1990,70-74 years,Both,Respiratory infections and tuberculosis,"Deaths per 100,000",172.96638700344047,154.68291155438916,191.43797633847512
All Population,Brazil,1990,75-79 years,Both,Respiratory infections and tuberculosis,"Deaths per 100,000",304.91495716369195,272.83018226389163,337.56089157807673
All Population,Brazil,1990,80-84 years,Both,Respiratory infections and tuberculosis,"Deaths per 100,000",592.3021814253726,510.4090499154044,663.0071101112327
All Population,Brazil,1990,85-89 years,Both,Respiratory infections and tuberculosis,"Deaths per 100,000",1027.26923744292,860.947347933543,1159.484509324966
All Population,Brazil,1990,90-94 years,Both,Respiratory infections and tuberculosis,"Deaths per 100,000",1627.1359772202002,1274.070669239016,1888.0801973230277
All Population,Brazil,1990,95+ years,Both,Respiratory infections and tuberculosis,"Deaths per 100,000",1993.4653251058198,1391.310760792238,2440.418433169509
All Population,Brazil,1990,0-6 days,Both,Enteric infections,"Deaths per 100,000",482.6308646777746,412.23364572845617,556.8431207455781
All Population,Brazil,1990,7-27 days,Both,Enteric infections,"Deaths per 100,000",980.1713290839095,851.0042768757296,1115.9961909957801
All Population,Brazil,1990,1-5 months,Both,Enteric infections,"Deaths per 100,000",1492.8099372694744,1354.5434121181722,1617.8491030543698
All Population,Brazil,1990,6-11 months,Both,Enteric infections,"Deaths per 100,000",649.9966472167274,583.2381721463026,708.4081075906291
All Population,Brazil,1990,12-23 months,Both,Enteric infections,"Deaths per 100,000",100.47128954186893,87.21332287794675,114.2268401836648
All Population,Brazil,1990,2-4 years,Both,Enteric infections,"Deaths per 100,000",12.892672936644543,10.924609851608984,15.151401075004303
All Population,Brazil,1990,5-9 years,Both,Enteric infections,"Deaths per 100,000",1.5673426128227705,1.3369452513664803,1.8429867020552564
All Population,Brazil,1990,10-14 years,Both,Enteric infections,"Deaths per 100,000",0.6803886467576818,0.5909706292147116,0.7884969044220226
All Population,Brazil,1990,15-19 years,Both,Enteric infections,"Deaths per 100,000",0.4754799930546856,0.4082249929280741,0.5512290858019457
All Population,Brazil,1990,20-24 years,Both,Enteric infections,"Deaths per 100,000",0.6114588516959575,0.5357341038361885,0.698544816856887
All Population,Brazil,1990,25-29 years,Both,Enteric infections,"Deaths per 100,000",0.7866229278377621,0.6911235647352755,0.8974981551536713
All Population,Brazil,1990,30-34 years,Both,Enteric infections,"Deaths per 100,000",1.2116984250285667,1.0674769735646512,1.3707895402659036
All Population,Brazil,1990,35-39 years,Both,Enteric infections,"Deaths per 100,000",1.662950933619694,1.454513944986858,1.8679777710998602
All Population,Brazil,1990,40-44 years,Both,Enteric infections,"Deaths per 100,000",2.3446353675377907,2.0837520159773533,2.6307240736424373
All Population,Brazil,1990,45-49 years,Both,Enteric infections,"Deaths per 100,000",3.46619266933421,3.134728977110971,3.874167245659806
All Population,Brazil,1990,50-54 years,Both,Enteric infections,"Deaths per 100,000",5.055111961711283,4.525652642825686,5.603144785236372
All Population,Brazil,1990,55-59 years,Both,Enteric infections,"Deaths per 100,000",7.277192334559394,6.596857757991801,7.9978519652826625
All Population,Brazil,1990,60-64 years,Both,Enteric infections,"Deaths per 100,000",10.818071260453989,9.797181331648902,11.892736743441883
All Population,Brazil,1990,65-69 years,Both,Enteric infections,"Deaths per 100,000",18.05238274384503,16.180606484783436,19.891544938854665
All Population,Brazil,1990,70-74 years,Both,Enteric infections,"Deaths per 100,000",33.989673193377854,30.375204032025614,37.4027773020719
All Population,Brazil,1990,75-79 years,Both,Enteric infections,"Deaths per 100,000",63.433054939634545,56.133441220859616,71.51704067461125
All Population,Brazil,1990,80-84 years,Both,Enteric infections,"Deaths per 100,000",127.38876749039267,108.39682597562786,144.99319956170226
All Population,Brazil,1990,85-89 years,Both,Enteric infections,"Deaths per 100,000",207.3818308005344,169.61794104729552,240.2994354402948
All Population,Brazil,1990,90-94 years,Both,Enteric infections,"Deaths per 100,000",290.6536322926894,219.08718725355104,346.9431256078164
All Population,Brazil,1990,95+ years,Both,Enteric infections,"Deaths per 100,000",487.1594260047855,327.53374999367657,604.1782685663198
All Population,Brazil,1990,0-6 days,Both,Neglected tropical diseases and malaria,"Deaths per 100,000",6.450539316300234,5.164415915362986,7.91070142610021
All Population,Brazil,1990,7-27 days,Both,Neglected tropical diseases and malaria,"Deaths per 100,000",11.26351203412496,5.366711366436059,22.652399381975968
All Population,Brazil,1990,1-5 months,Both,Neglected tropical diseases and malaria,"Deaths per 100,000",23.61160368883715,13.254834343147799,40.733466150599824
All Population,Brazil,1990,6-11 months,Both,Neglected tropical diseases and malaria,"Deaths per 100,000",30.00180069284681,16.723530453469845,49.17810521863358
All Population,Brazil,1990,12-23 months,Both,Neglected tropical diseases and malaria,"Deaths per 100,000",16.492535424463025,9.06954429012712,26.865654938528547
All Population,Brazil,1990,2-4 years,Both,Neglected tropical diseases and malaria,"Deaths per 100,000",7.081097460253892,3.087819470289632,12.793336323739402
All Population,Brazil,1990,5-9 years,Both,Neglected tropical diseases and malaria,"Deaths per 100,000",2.3489034924007184,1.325453526679863,3.734990727514659
All Population,Brazil,1990,10-14 years,Both,Neglected tropical diseases and malaria,"Deaths per 100,000",1.4372936956679654,0.8142585475624424,2.337053453162476
All Population,Brazil,1990,15-19 years,Both,Neglected tropical diseases and malaria,"Deaths per 100,000",1.8624446108925126,1.0592260768061525,2.951842225537819
All Population,Brazil,1990,20-24 years,Both,Neglected tropical diseases and malaria,"Deaths per 100,000",2.42870712514777,1.489919383946154,3.624132551960676
All Population,Brazil,1990,25-29 years,Both,Neglected tropical diseases and malaria,"Deaths per 100,000",3.199165082631602,2.2214786493687826,4.6133072788514
All Population,Brazil,1990,30-34 years,Both,Neglected tropical diseases and malaria,"Deaths per 100,000",4.984910077932742,3.9226748602442623,6.407944089602778
All Population,Brazil,1990,35-39 years,Both,Neglected tropical diseases and malaria,"Deaths per 100,000",7.022955149181662,5.834814698574581,8.378241411092494
All Population,Brazil,1990,40-44 years,Both,Neglected tropical diseases and malaria,"Deaths per 100,000",10.548675956821894,9.387930072324373,12.262580449477886
All Population,Brazil,1990,45-49 years,Both,Neglected tropical diseases and malaria,"Deaths per 100,000",15.518574373619247,14.196046376168152,17.180948374856968
All Population,Brazil,1990,50-54 years,Both,Neglected tropical diseases and malaria,"Deaths per 100,000",22.71002011766399,20.880886650604936,24.810815525334075
All Population,Brazil,1990,55-59 years,Both,Neglected tropical diseases and malaria,"Deaths per 100,000",29.50707156787775,26.92631677427516,32.247386353240614
All Population,Brazil,1990,60-64 years,Both,Neglected tropical diseases and malaria,"Deaths per 100,000",36.21375759205211,33.46437328894097,38.88777468952432
All Population,Brazil,1990,65-69 years,Both,Neglected tropical diseases and malaria,"Deaths per 100,000",45.79639706886366,42.08308713010089,49.724723955593944
All Population,Brazil,1990,70-74 years,Both,Neglected tropical diseases and malaria,"Deaths per 100,000",56.466386618224256,50.625451358465305,63.61615736156765
All Population,Brazil,1990,75-79 years,Both,Neglected tropical diseases and malaria,"Deaths per 100,000",74.38088577357969,66.79105003791629,83.10913270893691
All Population,Brazil,1990,80-84 years,Both,Neglected tropical diseases and malaria,"Deaths per 100,000",82.44294552898386,71.46749202315503,92.93502474651054
All Population,Brazil,1990,85-89 years,Both,Neglected tropical diseases and malaria,"Deaths per 100,000",98.38532268569135,83.12248149627008,114.61444294025628
All Population,Brazil,1990,90-94 years,Both,Neglected tropical diseases and malaria,"Deaths per 100,000",102.31840181816386,76.74011310920439,122.43036643059891
All Population,Brazil,1990,95+ years,Both,Neglected tropical diseases and malaria,"Deaths per 100,000",136.40144498952796,90.54448655257885,178.10184721678615
All Population,Brazil,1990,0-6 days,Both,Other infectious diseases,"Deaths per 100,000",266.9724161589387,240.7825678589158,300.6656991004243
All Population,Brazil,1990,7-27 days,Both,Other infectious diseases,"Deaths per 100,000",265.5019587103233,231.91255344888555,302.6882672524456
All Population,Brazil,1990,1-5 months,Both,Other infectious diseases,"Deaths per 100,000",160.33714939288936,145.30336649649834,175.72057889223106
All Population,Brazil,1990,6-11 months,Both,Other infectious diseases,"Deaths per 100,000",99.48052733606801,90.45854111718758,110.51751034632333
All Population,Brazil,1990,12-23 months,Both,Other infectious diseases,"Deaths per 100,000",32.78973606916916,29.300339573131417,36.14215068961399
All Population,Brazil,1990,2-4 years,Both,Other infectious diseases,"Deaths per 100,000",11.46655339871421,10.231047850383511,12.631036983711633
All Population,Brazil,1990,5-9 years,Both,Other infectious diseases,"Deaths per 100,000",3.8150564975400303,3.4478133363344696,4.181959231132443
All Population,Brazil,1990,10-14 years,Both,Other infectious diseases,"Deaths per 100,000",2.5938903620513925,2.3704858000163505,2.8156120904496347
All Population,Brazil,1990,15-19 years,Both,Other infectious diseases,"Deaths per 100,000",2.0773557114398318,1.9012604031147728,2.2743616278539274
All Population,Brazil,1990,20-24 years,Both,Other infectious diseases,"Deaths per 100,000",1.9914636287355405,1.8187329354907595,2.1757237044288615
All Population,Brazil,1990,25-29 years,Both,Other infectious diseases,"Deaths per 100,000",2.139735007590726,1.9526128231012467,2.318919160782318
All Population,Brazil,1990,30-34 years,Both,Other infectious diseases,"Deaths per 100,000",2.641366155320792,2.4214282048145326,2.859841394142331
All Population,Brazil,1990,35-39 years,Both,Other infectious diseases,"Deaths per 100,000",3.0670612878666446,2.8238941186550592,3.3486206048222704
All Population,Brazil,1990,40-44 years,Both,Other infectious diseases,"Deaths per 100,000",3.670729157799888,3.381284978017264,4.018314349558957
All Population,Brazil,1990,45-49 years,Both,Other infectious diseases,"Deaths per 100,000",4.676925251425577,4.251499877022586,5.08441783407236
All Population,Brazil,1990,50-54 years,Both,Other infectious diseases,"Deaths per 100,000",5.420859790746631,4.969939918031886,5.917659590447443
All Population,Brazil,1990,55-59 years,Both,Other infectious diseases,"Deaths per 100,000",6.248747788214836,5.755764146844233,6.885282677210153
All Population,Brazil,1990,60-64 years,Both,Other infectious diseases,"Deaths per 100,000",7.307932198912049,6.754509699816968,8.05554836812934
All Population,Brazil,1990,65-69 years,Both,Other infectious diseases,"Deaths per 100,000",8.25145795545977,7.507842883597964,9.148400508786473
All Population,Brazil,1990,70-74 years,Both,Other infectious diseases,"Deaths per 100,000",10.014116465609161,9.059201160862393,10.98406355408301
All Population,Brazil,1990,75-79 years,Both,Other infectious diseases,"Deaths per 100,000",12.789201380494081,11.514943220183385,14.208813041728918
All Population,Brazil,1990,80-84 years,Both,Other infectious diseases,"Deaths per 100,000",14.813543721070015,13.020628980316149,16.524869231616453
All Population,Brazil,1990,85-89 years,Both,Other infectious diseases,"Deaths per 100,000",16.910742862513946,14.324134067697576,19.20504948813691
All Population,Brazil,1990,90-94 years,Both,Other infectious diseases,"Deaths per 100,000",18.53915945719335,14.752309322004688,21.411507112578967
All Population,Brazil,1990,95+ years,Both,Other infectious diseases,"Deaths per 100,000",26.622188369328263,18.758974518117256,32.93859204053092
All Population,Brazil,1990,0-6 days,Both,Maternal and neonatal disorders,"Deaths per 100,000",58868.17559998416,57019.51954830907,60753.6554197206
All Population,Brazil,1990,7-27 days,Both,Maternal and neonatal disorders,"Deaths per 100,000",5208.779441190693,4900.116263636322,5522.084971920549
All Population,Brazil,1990,1-5 months,Both,Maternal and neonatal disorders,"Deaths per 100,000",504.0182580208464,443.81601201276334,575.3456569068117
All Population,Brazil,1990,6-11 months,Both,Maternal and neonatal disorders,"Deaths per 100,000",127.405283212827,110.68983441881797,146.3268494735769
All Population,Brazil,1990,12-23 months,Both,Maternal and neonatal disorders,"Deaths per 100,000",3.0598803968520367,2.628615859850024,3.5764339322325207
All Population,Brazil,1990,2-4 years,Both,Maternal and neonatal disorders,"Deaths per 100,000",0.7156681160996544,0.6146820259374219,0.8282755629213192
All Population,Brazil,1990,5-9 years,Both,Maternal and neonatal disorders,"Deaths per 100,000",,,
All Population,Brazil,1990,10-14 years,Both,Maternal and neonatal disorders,"Deaths per 100,000",0.15159465662511604,0.13105238634953656,0.172735052483327
All Population,Brazil,1990,15-19 years,Both,Maternal and neonatal disorders,"Deaths per 100,000",2.9406106805891126,2.6339747583429105,3.2612587283845684
All Population,Brazil,1990,20-24 years,Both,Maternal and neonatal disorders,"Deaths per 100,000",4.58621415670309,4.211520863467726,4.972695727510549
All Population,Brazil,1990,25-29 years,Both,Maternal and neonatal disorders,"Deaths per 100,000",5.229300071707292,4.76675505655336,5.66808713348889
All Population,Brazil,1990,30-34 years,Both,Maternal and neonatal disorders,"Deaths per 100,000",6.06235513433781,5.587775647666734,6.589566571416689
All Population,Brazil,1990,35-39 years,Both,Maternal and neonatal disorders,"Deaths per 100,000",7.312673630266751,6.656899266923742,7.890479281756203
All Population,Brazil,1990,40-44 years,Both,Maternal and neonatal disorders,"Deaths per 100,000",3.878412910735913,3.5208091411127485,4.294140802070109
All Population,Brazil,1990,45-49 years,Both,Maternal and neonatal disorders,"Deaths per 100,000",2.694321472164117,2.4528308283176017,3.0108048821674953
All Population,Brazil,1990,50-54 years,Both,Maternal and neonatal disorders,"Deaths per 100,000",0.14331061479736412,0.12970462193422916,0.15811915361839918
All Population,Brazil,1990,55-59 years,Both,Maternal and neonatal disorders,"Deaths per 100,000",,,
All Population,Brazil,1990,60-64 years,Both,Maternal and neonatal disorders,"Deaths per 100,000",,,
All Population,Brazil,1990,65-69 years,Both,Maternal and neonatal disorders,"Deaths per 100,000",,,
All Population,Brazil,1990,70-74 years,Both,Maternal and neonatal disorders,"Deaths per 100,000",,,
All Population,Brazil,1990,75-79 years,Both,Maternal and neonatal disorders,"Deaths per 100,000",,,
All Population,Brazil,1990,80-84 years,Both,Maternal and neonatal disorders,"Deaths per 100,000",,,
All Population,Brazil,1990,85-89 years,Both,Maternal and neonatal disorders,"Deaths per 100,000",,,
All Population,Brazil,1990,90-94 years,Both,Maternal and neonatal disorders,"Deaths per 100,000",,,
All Population,Brazil,1990,95+ years,Both,Maternal and neonatal disorders,"Deaths per 100,000",,,
All Population,Brazil,1990,0-6 days,Both,Nutritional deficiencies,"Deaths per 100,000",0,0,0
All Population,Brazil,1990,7-27 days,Both,Nutritional deficiencies,"Deaths per 100,000",0,0,0
All Population,Brazil,1990,1-5 months,Both,Nutritional deficiencies,"Deaths per 100,000",336.49763721198195,296.3656207253003,381.59053922585446
All Population,Brazil,1990,6-11 months,Both,Nutritional deficiencies,"Deaths per 100,000",169.12716373926685,147.9141513022645,190.03278024017234
All Population,Brazil,1990,12-23 months,Both,Nutritional deficiencies,"Deaths per 100,000",36.261169041311696,31.59183155632588,41.176594843245624
All Population,Brazil,1990,2-4 years,Both,Nutritional deficiencies,"Deaths per 100,000",4.679793129651936,4.062325115706302,5.381522412770736
All Population,Brazil,1990,5-9 years,Both,Nutritional deficiencies,"Deaths per 100,000",0.9496210358869808,0.8239872283851736,1.0920714238068787
All Population,Brazil,1990,10-14 years,Both,Nutritional deficiencies,"Deaths per 100,000",0.534504409989368,0.46292278793406644,0.6109128579765412
All Population,Brazil,1990,15-19 years,Both,Nutritional deficiencies,"Deaths per 100,000",0.3570511426940885,0.3059121489921288,0.4206180764948705
All Population,Brazil,1990,20-24 years,Both,Nutritional deficiencies,"Deaths per 100,000",0.414997908676863,0.3546251182822539,0.4992891276945106
All Population,Brazil,1990,25-29 years,Both,Nutritional deficiencies,"Deaths per 100,000",0.6163926975800512,0.5201611030567659,0.742428885842761
All Population,Brazil,1990,30-34 years,Both,Nutritional deficiencies,"Deaths per 100,000",0.9386065554898841,0.8054744852794641,1.105022439397816
All Population,Brazil,1990,35-39 years,Both,Nutritional deficiencies,"Deaths per 100,000",1.351437823044383,1.1572963827142744,1.6032550631237472
All Population,Brazil,1990,40-44 years,Both,Nutritional deficiencies,"Deaths per 100,000",1.9491395266446951,1.6724854572193284,2.2676205458998946
All Population,Brazil,1990,45-49 years,Both,Nutritional deficiencies,"Deaths per 100,000",2.8266198984925026,2.412404954822867,3.3964287217058677
All Population,Brazil,1990,50-54 years,Both,Nutritional deficiencies,"Deaths per 100,000",4.201226788239712,3.6035081134273685,4.943093506957978
All Population,Brazil,1990,55-59 years,Both,Nutritional deficiencies,"Deaths per 100,000",5.558218046981225,4.815956763996555,6.575438268851259
All Population,Brazil,1990,60-64 years,Both,Nutritional deficiencies,"Deaths per 100,000",8.400283911405053,7.248582348556542,9.88552163588838
All Population,Brazil,1990,65-69 years,Both,Nutritional deficiencies,"Deaths per 100,000",12.70328105305211,10.74821880830984,15.007165053142666
All Population,Brazil,1990,70-74 years,Both,Nutritional deficiencies,"Deaths per 100,000",24.7028425183523,21.051868677738742,28.45648487557133
All Population,Brazil,1990,75-79 years,Both,Nutritional deficiencies,"Deaths per 100,000",45.52893924738757,39.345964752683564,52.97824966705101
All Population,Brazil,1990,80-84 years,Both,Nutritional deficiencies,"Deaths per 100,000",89.3906494461249,77.28432396453057,102.80326488269861
All Population,Brazil,1990,85-89 years,Both,Nutritional deficiencies,"Deaths per 100,000",159.7697057886582,134.10860321723447,183.80965265429867
All Population,Brazil,1990,90-94 years,Both,Nutritional deficiencies,"Deaths per 100,000",230.0253967585827,185.1965370695621,264.0104954411811
All Population,Brazil,1990,95+ years,Both,Nutritional deficiencies,"Deaths per 100,000",326.61001418674005,228.38574646092502,412.56479894635845
All Population,Brazil,1990,0-6 days,Both,Neoplasms,"Deaths per 100,000",29.090052839547962,27.383344913662732,30.895893098433554
All Population,Brazil,1990,7-27 days,Both,Neoplasms,"Deaths per 100,000",10.210594659805178,9.376681160900386,11.043162372004518
All Population,Brazil,1990,1-5 months,Both,Neoplasms,"Deaths per 100,000",12.406805793690502,11.306444251092557,13.517282239223784
All Population,Brazil,1990,6-11 months,Both,Neoplasms,"Deaths per 100,000",10.669063925544645,9.717405389048766,11.80381580819677
All Population,Brazil,1990,12-23 months,Both,Neoplasms,"Deaths per 100,000",10.758801913661179,9.712136413454296,11.821433145222755
All Population,Brazil,1990,2-4 years,Both,Neoplasms,"Deaths per 100,000",8.820141202949376,8.02685260946378,9.64812394075504
All Population,Brazil,1990,5-9 years,Both,Neoplasms,"Deaths per 100,000",6.463418678334309,5.920179653176399,7.016482742821134
All Population,Brazil,1990,10-14 years,Both,Neoplasms,"Deaths per 100,000",5.136598161854191,4.768339936703083,5.5331477059449705
All Population,Brazil,1990,15-19 years,Both,Neoplasms,"Deaths per 100,000",5.7858325786586775,5.466751664782585,6.125753523982361
All Population,Brazil,1990,20-24 years,Both,Neoplasms,"Deaths per 100,000",7.547338607591245,7.16560919843757,7.980412974826343
All Population,Brazil,1990,25-29 years,Both,Neoplasms,"Deaths per 100,000",11.434091584768622,10.896241723257548,12.046249314981937
All Population,Brazil,1990,30-34 years,Both,Neoplasms,"Deaths per 100,000",19.700461171430057,18.75882623609251,20.896926315719167
All Population,Brazil,1990,35-39 years,Both,Neoplasms,"Deaths per 100,000",33.84560587588071,31.997159567655572,35.61999166911792
All Population,Brazil,1990,40-44 years,Both,Neoplasms,"Deaths per 100,000",60.513175127294744,57.66115698730848,63.79529122150146
All Population,Brazil,1990,45-49 years,Both,Neoplasms,"Deaths per 100,000",105.34787974754872,100.68673486912053,109.84141376058294
All Population,Brazil,1990,50-54 years,Both,Neoplasms,"Deaths per 100,000",176.78700504734607,169.25676469114782,184.3672976658658
All Population,Brazil,1990,55-59 years,Both,Neoplasms,"Deaths per 100,000",264.50303049349156,253.6159168709193,275.42902247794143
All Population,Brazil,1990,60-64 years,Both,Neoplasms,"Deaths per 100,000",372.99015809926817,358.24743634709887,389.39782293216183
All Population,Brazil,1990,65-69 years,Both,Neoplasms,"Deaths per 100,000",510.73209807095014,489.49446725816534,532.6905620846813
All Population,Brazil,1990,70-74 years,Both,Neoplasms,"Deaths per 100,000",691.7924528352246,660.5797102093024,723.293310339973
All Population,Brazil,1990,75-79 years,Both,Neoplasms,"Deaths per 100,000",917.5623839536684,856.7431410552358,959.8781119242357
All Population,Brazil,1990,80-84 years,Both,Neoplasms,"Deaths per 100,000",1186.5247331916592,1089.43141681013,1264.95129223511
All Population,Brazil,1990,85-89 years,Both,Neoplasms,"Deaths per 100,000",1463.5781944846756,1263.2361112999577,1593.9242622459917
All Population,Brazil,1990,90-94 years,Both,Neoplasms,"Deaths per 100,000",1444.7309693890443,1161.50593063346,1608.1370009637067
All Population,Brazil,1990,95+ years,Both,Neoplasms,"Deaths per 100,000",1305.9914287218642,921.0017990060576,1543.7741739759279
All Population,Brazil,1990,0-6 days,Both,Cardiovascular diseases,"Deaths per 100,000",55.17283427365913,48.80290793120481,62.95204106476653
All Population,Brazil,1990,7-27 days,Both,Cardiovascular diseases,"Deaths per 100,000",14.390887938387246,12.413435644561343,16.367202560555146
All Population,Brazil,1990,1-5 months,Both,Cardiovascular diseases,"Deaths per 100,000",28.719321684172225,25.061811346533833,33.73740572850412
All Population,Brazil,1990,6-11 months,Both,Cardiovascular diseases,"Deaths per 100,000",15.707828774968782,13.587356336584506,18.764210105910543
All Population,Brazil,1990,12-23 months,Both,Cardiovascular diseases,"Deaths per 100,000",5.748803324291834,4.995381431285352,6.833202416861102
All Population,Brazil,1990,2-4 years,Both,Cardiovascular diseases,"Deaths per 100,000",1.940073806704371,1.700308192831015,2.2331466847506327
