Population,Location,Year,Age,Sex,Cause of death or injury,Measure,Value,Lower bound,Upper bound
All Population,Brazil,2023,60-64 years,Both,Respiratory infections and tuberculosis,"Deaths per 100,000",66.49657198574675,60.92814225740906,72.01600519396321
All Population,Brazil,2023,65-69 years,Both,Respiratory infections and tuberculosis,"Deaths per 100,000",110.60785232326076,101.0213409454823,120.20561427723992
All Population,Brazil,2023,70-74 years,Both,Respiratory infections and tuberculosis,"Deaths per 100,000",188.34671797811885,170.3358654985032,204.13389431154602
All Population,Brazil,2023,75-79 years,Both,Respiratory infections and tuberculosis,"Deaths per 100,000",335.6843448971516,302.3849716118284,367.37996051848654
All Population,Brazil,2023,80-84 years,Both,Respiratory infections and tuberculosis,"Deaths per 100,000",629.7882657647995,537.1715004850921,700.4660597664944
All Population,Brazil,2023,85-89 years,Both,Respiratory infections and tuberculosis,"Deaths per 100,000",1177.5513953883865,951.1312309550277,1330.666351582202
All Population,Brazil,2023,90-94 years,Both,Respiratory infections and tuberculosis,"Deaths per 100,000",2069.7693424651284,1595.678252492826,2383.6907640376435
All Population,Brazil,2023,95+ years,Both,Respiratory infections and tuberculosis,"Deaths per 100,000",2847.8877806809405,1960.7394248304468,3428.981562050058
All Population,Brazil,2023,0-6 days,Both,Enteric infections,"Deaths per 100,000",10.4255209660196,9.098976512080052,11.852212348550768
All Population,Brazil,2023,7-27 days,Both,Enteric infections,"Deaths per 100,000",10.014596092468883,8.400875584909254,11.82077761208033
All Population,Brazil,2023,1-5 months,Both,Enteric infections,"Deaths per 100,000",20.504286001972456,17.682756191915626,23.29315985156393
All Population,Brazil,2023,6-11 months,Both,Enteric infections,"Deaths per 100,000",9.081917087740162,7.591773204571162,10.811841273306188
All Population,Brazil,2023,12-23 months,Both,Enteric infections,"Deaths per 100,000",3.590291618970344,3.0030056444315534,4.317597479689137
All Population,Brazil,2023,2-4 years,Both,Enteric infections,"Deaths per 100,000",0.8914828982837636,0.7210331849844758,1.0703513621686251
All Population,Brazil,2023,5-9 years,Both,Enteric infections,"Deaths per 100,000",0.36124567694533805,0.2927981390036752,0.4390533780095722
All Population,Brazil,2023,10-14 years,Both,Enteric infections,"Deaths per 100,000",0.2335619328457114,0.19593860353656503,0.27693488116929293
All Population,Brazil,2023,15-19 years,Both,Enteric infections,"Deaths per 100,000",0.19809993191120162,0.15997295280185214,0.26000987812601883
All Population,Brazil,2023,20-24 years,Both,Enteric infections,"Deaths per 100,000",0.2412138354893602,0.19591527922721136,0.29804189552972393
All Population,Brazil,2023,25-29 years,Both,Enteric infections,"Deaths per 100,000",0.2523800421981793,0.21588246370887457,0.30454825304071614
All Population,Brazil,2023,30-34 years,Both,Enteric infections,"Deaths per 100,000",0.34625000158980784,0.293952734156047,0.3969227835456761
All Population,Brazil,2023,35-39 years,Both,Enteric infections,"Deaths per 100,000",0.4256488599583043,0.3690282177418048,0.4877270292799959
